time,x
7.917918,-2.529965
7.927928,-2.548975
7.937938,-2.567767
7.947948,-2.586337
7.957958,-2.604683
7.967968,-2.622805
7.977978,-2.640698
7.987988,-2.658361
7.997998,-2.675791
8.008008,-2.692987
8.018018,-2.709947
8.028028,-2.726667
8.038038,-2.743146
8.048048,-2.759382
8.058058,-2.775373
8.068068,-2.791117
8.078078,-2.806610
8.088088,-2.821853
8.098098,-2.836842
8.108108,-2.851575
8.118118,-2.866051
8.128128,-2.880268
8.138138,-2.894223
8.148148,-2.907915
8.158158,-2.921341
8.168168,-2.934501
8.178178,-2.947392
8.188188,-2.960012
8.198198,-2.972359
8.208208,-2.984432
8.218218,-2.996229
8.228228,-3.007749
8.238238,-3.018989
8.248248,-3.029947
8.258258,-3.040623
8.268268,-3.051015
8.278278,-3.061120
8.288288,-3.070938
8.298298,-3.080467
8.308308,-3.089705
8.318318,-3.098650
8.328328,-3.107303
8.338338,-3.115660
8.348348,-3.123720
8.358358,-3.131483
8.368368,-3.138946
8.378378,-3.146109
8.388388,-3.152969
8.398398,-3.159527
8.408408,-3.165780
8.418418,-3.171727
8.428428,-3.177367
8.438438,-3.182700
8.448448,-3.187723
8.458458,-3.192436
8.468468,-3.196837
8.478478,-3.200926
8.488488,-3.204701
8.498498,-3.208162
8.508509,-3.211307
8.518519,-3.214136
8.528529,-3.216648
8.538539,-3.218841
8.548549,-3.220716
8.558559,-3.222270
8.568569,-3.223504
8.578579,-3.224417
8.588589,-3.225007
8.598599,-3.225274
8.608609,-3.225218
8.618619,-3.224838
8.628629,-3.224133
8.638639,-3.223103
8.648649,-3.221747
8.658659,-3.220064
8.668669,-3.218055
8.678679,-3.215719
8.688689,-3.213054
8.698699,-3.210062
8.708709,-3.206741
8.718719,-3.203092
8.728729,-3.199113
8.738739,-3.194805
8.748749,-3.190168
8.758759,-3.185201
8.768769,-3.179904
8.778779,-3.174277
8.788789,-3.168320
8.798799,-3.162033
8.808809,-3.155416
8.818819,-3.148469
8.828829,-3.141191
8.838839,-3.133584
8.848849,-3.125647
8.858859,-3.117380
8.868869,-3.108783
8.878879,-3.099857
8.888889,-3.090602
8.898899,-3.081018
8.908909,-3.071106
8.918919,-3.060865
8.928929,-3.050297
8.938939,-3.039401
8.948949,-3.028178
8.958959,-3.016629
8.968969,-3.004754
8.978979,-2.992553
8.988989,-2.980028
8.998999,-2.967178
9.009009,-2.954005
9.019019,-2.940509
9.029029,-2.926691
9.039039,-2.912551
9.049049,-2.898091
9.059059,-2.883310
9.069069,-2.868211
9.079079,-2.852794
9.089089,-2.837059
9.099099,-2.821009
9.109109,-2.804643
9.119119,-2.787963
9.129129,-2.770969
9.139139,-2.753664
9.149149,-2.736047
9.159159,-2.718121
9.169169,-2.699886
9.179179,-2.681344
9.189189,-2.662496
9.199199,-2.643342
9.209209,-2.623886
9.219219,-2.604126
9.229229,-2.584067
9.239239,-2.563707
9.249249,-2.543050
9.259259,-2.522096
9.269269,-2.500848
9.279279,-2.479306
9.289289,-2.457472
9.299299,-2.435348
9.309309,-2.412935
9.319319,-2.390236
9.329329,-2.367251
9.339339,-2.343983
9.349349,-2.320434
9.359359,-2.296604
9.369369,-2.272496
9.379379,-2.248113
9.389389,-2.223455
9.399399,-2.198525
9.409409,-2.173324
9.419419,-2.147855
9.429429,-2.122120
9.439439,-2.096121
9.449449,-2.069859
9.459459,-2.043338
9.469469,-2.016558
9.479479,-1.989523
9.489489,-1.962234
9.499499,-1.934695
9.509510,-1.906906
9.519520,-1.878870
9.529530,-1.850590
9.539540,-1.822068
9.549550,-1.793306
9.559560,-1.764308
9.569570,-1.735074
9.579580,-1.705608
9.589590,-1.675912
9.599600,-1.645990
9.609610,-1.615842
9.619620,-1.585472
9.629630,-1.554883
9.639640,-1.524077
9.649650,-1.493057
9.659660,-1.461825
9.669670,-1.430384
9.679680,-1.398738
9.689690,-1.366888
9.699700,-1.334838
9.709710,-1.302590
9.719720,-1.270147
9.729730,-1.237513
9.739740,-1.204689
9.749750,-1.171679
9.759760,-1.138487
9.769770,-1.105114
9.779780,-1.071564
9.789790,-1.037840
9.799800,-1.003944
9.809810,-0.969881
9.819820,-0.935653
9.829830,-0.901263
9.839840,-0.866714
9.849850,-0.832010
9.859860,-0.797154
9.869870,-0.762148
9.879880,-0.726997
9.889890,-0.691703
9.899900,-0.656269
9.909910,-0.620700
9.919920,-0.584998
9.929930,-0.549166
9.939940,-0.513208
9.949950,-0.477128
9.959960,-0.440928
9.969970,-0.404613
9.979980,-0.368184
9.989990,-0.331647
10.000000,-0.295005
